"chrome";"knoxly";"scheda";"TOTALE"
4.02;1.19;8.38;13.59
3.56;1.19;9.08;13.83
4.02;1.19;4.3;9.51
4.02;1.19;8.12;13.33
4.02;1.19;9.11;14.32
4.02;1.19;9.04;14.25
3.56;1.19;8.53;13.28
3.56;1.19;4.32;9.07
3.56;1.19;4.32;9.07
3.56;1.19;9.16;13.91
4.02;1.19;9.12;14.33
4.02;1.19;8.48;13.69
3.56;1.19;9.22;13.97
3.56;1.19;9.23;13.98
3.56;1.19;9.22;13.97
3.56;1.19;11.16;15.91
4.02;1.19;10.58;15.79
3.56;1.19;10.37;15.12
3.56;1.19;11.45;16.2
4.02;1.19;11.21;16.42
4.02;1.19;4.38;9.59
3.56;1.19;11.35;16.1
3.56;1.19;11.36;16.11
3.56;1.19;4.49;9.24
3.56;1.19;12.08;16.83
4.02;1.19;11.58;16.79
4.02;1.19;11.58;16.79
3.56;1.19;11.08;15.83
3.56;1.19;11.32;16.07
4.02;1.19;4.47;9.68
4.02;1.19;4.47;9.68
3.56;1.19;12.09;16.84
4.02;1.19;11.45;16.66
4.02;1.19;11.47;16.68
3.56;1.19;12.14;16.89
3.56;1.19;12.25;17
3.56;1.19;11.56;16.31
3.56;1.19;11.57;16.32
3.56;1.19;12.29;17.04
3.56;1.19;12.33;17.08
3.56;1.19;12.13;16.88
3.56;1.19;12.13;16.88
3.56;1.19;12.43;17.18
3.56;1.19;13.15;17.9
4.02;1.19;13.09;18.3
4.02;1.19;13.09;18.3
3.56;1.19;13.31;18.06
4.02;13.12;13.31;30.45
3.56;13.12;13.49;30.17
4.02;13.12;13.48;30.62
4.02;13.12;13.24;30.38
3.56;13.12;13.57;30.25
3.56;13.12;14.03;30.71
4.02;13.12;13.39;30.53
6.54;13.19;14.04;33.77
6.48;13.19;5.01;24.68
6.48;13.19;15.06;34.73
6.48;13.19;13.55;33.22
6.54;13.19;14.17;33.9
6.48;13.19;5.22;24.89
6.48;13.19;17.48;37.15
6.49;13.19;18.18;37.86
6.55;13.19;14.11;33.85
6.48;13.19;13.23;32.9
6.55;13.19;13.34;33.08
6.55;13.19;4.56;24.3
6.48;13.19;14.11;33.78
6.48;13.19;12.45;32.12
6.48;13.19;14.19;33.86
6.48;13.19;14.26;33.93
6.48;13.19;13.51;33.18
6.48;13.19;5.02;24.69
6.48;13.19;14.19;33.86
6.55;13.19;15.22;34.96
6.55;13.19;15.06;34.8
6.48;13.19;13.02;32.69
6.48;13.19;16.08;35.75
6.48;13.19;16.18;35.85
6.55;0.8;16.16;23.51
6.48;0.8;16.21;23.49
6.48;0.8;5.19;12.47
6.48;0.8;17.11;24.39
6.55;0.8;5.15;12.5
6.49;0.8;15.05;22.34
6.49;0.8;16.39;23.68
6.49;0.8;16.45;23.74
6.49;0.8;5.16;12.45
6.49;0.8;5.17;12.46
6.49;0.8;19.55;26.84
6.49;0.8;19.59;26.88
6.49;0.8;20.08;27.37
6.55;13.21;16.03;35.79
6.49;13.21;15.53;35.23
6.55;13.21;17.15;36.91
6.55;13.21;17.19;36.95
6.55;13.21;4.7;24.46
6.49;13.21;16.14;35.84
6.49;13.21;16.24;35.94
6.49;13.21;16.26;35.96
6.49;13.21;16.51;36.21
6.49;13.21;16.51;36.21
6.49;13.21;17.05;36.75
6.49;13.21;16.45;36.15
6.49;13.21;16.21;35.91
6.49;13.21;16.56;36.26
6.49;13.21;16.47;36.17
6.49;13.21;16.22;35.92
6.49;13.21;16.58;36.28
6.49;13.21;17.18;36.88
6.55;13.22;16.48;36.25
6.49;13.22;16.47;36.18
6.49;13.22;5.18;24.89
6.55;13.22;17.29;37.06
6.49;13.22;4.8;24.51
6.49;13.22;18.27;37.98
6.55;13.22;18.24;38.01
6.55;13.22;17.36;37.13
6.49;13.22;18.39;38.1
6.49;13.22;19.23;38.94
6.49;13.22;19.58;39.29
6.49;13.22;20.01;39.72
6.49;13.22;19.42;39.13
6.49;13.22;5.03;24.74
2.29;13.22;20.29;35.8
6.52;13.22;20.25;39.99
7.03;13.22;19.47;39.72
7.03;13.22;19.35;39.6
7.03;13.22;19.42;39.67
2.3;13.22;19.42;34.94
2.3;13.22;20.08;35.6
6.54;13.22;20.02;39.78
2.3;13.22;20.11;35.63
2.3;13.22;19.24;34.76
6.54;13.22;20.07;39.83
6.54;13.22;20.37;40.13
6.54;13.22;19.58;39.34
6.54;13.22;19.49;39.25
6.54;13.22;20.13;39.89
6.54;13.22;20.16;39.92
2.3;13.22;20.34;35.86
2.3;13.22;20.34;35.86
6.54;13.22;20.16;39.92
6.54;13.22;20.25;40.01
6.54;13.22;5.15;24.91
6.54;13.22;5.04;24.8
2.3;13.22;5.42;20.94
6.54;13.22;6.27;26.03
6.54;13.22;6.24;26
6.54;13.22;6.16;25.92
6.54;13.22;6.54;26.3
6.54;13.22;6.54;26.3
6.54;13.22;6.42;26.18
6.54;13.22;6.57;26.33
6.54;13.22;5.49;25.25
6.54;13.22;5.53;25.29
6.54;13.22;5.08;24.84
2.3;13.22;7.27;22.79
2.3;13.22;6.33;21.85
6.54;13.22;6.35;26.11
2.3;13.23;6.18;21.71
2.3;13.23;5.15;20.68
6.54;13.23;6.08;25.85
2.3;13.23;6.17;21.7
6.54;13.23;6.19;25.96
2.3;13.23;7.03;22.56
2.3;13.23;6.49;22.02
6.54;13.23;6.26;26.03
2.3;13.25;5.12;20.67
7.03;13.25;5.12;25.4
7.03;13.25;6.56;26.84
7.03;13.25;7.31;27.59
6.54;13.25;7.21;27
6.54;13.25;8.08;27.87
2.3;13.25;7.46;23.01
2.3;13.25;6.56;22.11
6.54;13.25;7.17;26.96
2.3;13.25;7.07;22.62
2.3;13.25;5.13;20.68
6.54;13.25;7.44;27.23
2.3;13.25;8.05;23.6
2.3;13.25;8.51;24.06
2.3;13.25;5.17;20.72
6.54;13.25;8.58;28.37
6.54;13.25;8.33;28.12
2.3;13.25;8.07;23.62
6.54;13.25;7.48;27.27
6.54;13.25;8.55;28.34
6.54;13.25;8.22;28.01
6.54;13.25;8.23;28.02
6.54;13.25;8.25;28.04
6.54;13.25;8.51;28.3
6.54;13.25;8.46;28.25
6.54;13.25;8.46;28.25
6.54;13.25;8.02;27.81
7.01;13.25;8.15;28.41
7.01;13.25;8.11;28.37
6.54;13.25;5.13;24.92
6.55;13.25;8.45;28.25
7.01;13.25;8.46;28.72
6.55;13.25;8.15;27.95
7.01;13.25;8.59;28.85
7.01;13.25;8.46;28.72
6.55;13.25;9.26;29.06
6.55;13.25;8.25;28.05
6.55;13.25;9.09;28.89
7.01;13.25;8.42;28.68
7.01;13.25;9.25;29.51
7.01;13.25;9.14;29.4
7.01;13.25;5.16;25.42
6.55;13.25;7.47;27.27
6.55;13.25;7.41;27.21
6.55;13.25;7.23;27.03
7.01;13.28;7.24;27.53
6.55;13.28;7.31;27.14
6.55;13.28;8.02;27.85
6.55;13.28;8.32;28.15
7.01;13.28;9.16;29.45
7.01;13.28;8.56;28.85
6.55;13.28;8.27;28.1
6.56;13.28;8.58;28.42
6.56;13.28;8.33;28.17
6.56;13.28;9.01;28.85
6.56;13.28;9.21;29.05
6.56;13.27;9.03;28.86
6.56;13.27;5.22;25.05
7.02;13.28;9.13;29.43
7.02;13.28;9.13;29.43
6.57;13.28;8.41;28.26
6.57;13.28;9.48;29.33
7.03;13.28;9.01;29.32
6.57;13.28;8.51;28.36
6.57;13.28;5.26;25.11
6.57;13.28;9.02;28.87
7.03;13.28;9.56;29.87
7.03;13.28;10.08;30.39
6.56;13.28;9.46;29.3
6.56;13.28;9.05;28.89
6.57;13.28;9.24;29.09
7.03;13.28;10.15;30.46
7.03;13.28;9.13;29.44
6.57;13.28;5.33;25.18
6.57;13.28;5.31;25.16
6.57;13.28;10.26;30.11
7.03;13.28;11.13;31.44
7.03;13.28;10.47;30.78
6.57;13.28;10.49;30.34
6.57;13.28;10.35;30.2
7.03;13.28;11.03;31.34
6.57;13.28;10.44;30.29
7.03;13.28;12.08;32.39
7.04;13.28;11.21;31.53
7.04;13.28;5.38;25.7
6.58;13.28;11.28;31.14
6.58;13.28;11.48;31.34
7.04;1.21;11.15;19.4
6.58;1.21;10.58;18.37
7.04;1.21;12.16;20.41
6.58;1.21;12.43;20.22
7.04;1.21;11.32;19.57
6.58;1.21;5.39;13.18
6.58;1.21;11.47;19.26
7.04;13.31;11.58;31.93
7.04;13.31;11.58;31.93
6.58;13.31;11.36;31.25
6.58;13.31;12.34;32.23
6.58;1.21;11.32;19.11
7.04;1.21;11.43;19.68
6.59;1.21;11.47;19.27
6.59;1.21;11.28;19.08
6.59;1.21;11.46;19.26
6.59;1.21;11.48;19.28
6.59;1.21;11.13;18.93
6.59;1.21;11.11;18.91
6.59;1.21;12.06;19.86
6.59;1.21;11.34;19.14
6.59;1.21;5.45;13.25
6.59;1.21;5.45;13.25
6.59;1.21;12.39;20.19
6.59;1.21;12.07;19.87
7.05;1.21;5.43;13.69
2.3;1.21;13.01;16.52
7.06;1.21;12.02;20.29
7.06;1.21;12.19;20.46
2.3;1.21;11.53;15.04
2.3;1.21;12.14;15.65
2.3;1.21;5.45;8.96
2.3;1.21;5.42;8.93
2.3;1.21;5.46;8.97
2.3;1.21;5.46;8.97
2.3;1.21;13.48;16.99
2.3;1.21;14.53;18.04
2.3;1.21;15.07;18.58
2.3;1.21;15.49;19
7.06;1.21;15.27;23.54
2.3;1.21;15.32;18.83
2.3;1.21;6.01;9.52
7.06;13.31;6.01;26.38
7.06;13.31;6.01;26.38
2.3;13.31;15.21;30.82
2.3;13.31;15.14;30.75
2.3;13.31;15.28;30.89
2.3;13.31;15.41;31.02
2.3;13.31;15.45;31.06
7.07;13.31;15.24;35.62
7.07;13.31;15.23;35.61
2.3;13.31;15.02;30.63
2.3;13.31;14.57;30.18
7.07;13.31;15.07;35.45
7.07;13.31;15.07;35.45
2.3;13.31;15.27;30.88
2.3;13.31;15.33;30.94
2.3;13.31;6.02;21.63
2.3;13.31;6.02;21.63
2.3;13.31;15.27;30.88
2.3;13.31;16.08;31.69
2.3;13.31;15.31;30.92
2.3;13.31;16.06;31.67
2.31;13.31;5.7;21.32
2.31;13.33;15.37;31.01
2.31;13.33;5.55;21.19
2.3;13.33;15.41;31.04
2.3;13.33;16.13;31.76
