"ram";"time";"cpu"
11.265;1.32;24
11.265;1.3;4
11.268;1.41;4
11.271;1.44;4
11.272;1.41;3
11.274;1.45;4
11.275;1.31;3
11.276;1.41;3
11.278;1.41;36
11.278;1.43;4
11.282;1.5;3
11.285;1.3;5
11.296;1.41;8
11.301;1.45;4
11.302;1.41;2
11.305;1.44;3
11.308;1.3;3
11.312;1.4;3
11.32;1.52;3
11.323;1.31;2
11.326;1.31;3
11.328;1.31;4
11.329;1.31;3
11.331;1.41;3
11.332;1.31;26
11.332;1.33;3
11.335;1.31;3
11.34;1.43;3
11.34;1.4;4
11.341;1.41;4
11.342;1.41;1
11.343;1.3;5
11.345;1.41;4
11.351;1.43;3
11.358;1.4;4
11.361;1.43;5
11.37;1.41;3
11.372;1.41;3
11.374;1.3;4
11.38;1.31;3
11.383;1.3;3
11.384;1.41;4
11.386;1.31;1
11.389;1.31;24
11.389;1.31;4
11.397;1.3;3
11.399;1.44;3
11.4;1.41;33
11.4;1.41;3
11.403;1.41;4
11.406;1.41;29
11.406;1.41;4
11.407;1.41;4
11.409;1.31;3
11.411;1.51;4
11.415;1.31;4
11.415;1.31;3
11.422;1.31;3
11.426;1.45;4
11.427;1.31;32
11.431;1.41;4
11.432;1.41;5
11.444;1.44;25
11.445;1.3;4
11.448;1.34;3
11.451;1.4;4
11.452;1.41;4
11.453;1.41;3
11.455;1.34;4
11.457;1.31;4
11.46;1.31;4
11.461;1.41;4
11.465;1.31;4
11.47;1.31;3
11.47;1.34;4
11.473;1.31;3
11.474;1.41;3
11.475;1.31;3
11.475;1.41;4
11.479;1.31;5
11.483;1.42;12
11.484;1.41;4
11.485;1.3;3
11.486;1.4;3
11.488;1.3;3
11.49;1.34;3
11.492;1.3;3
11.502;1.31;4
11.508;1.31;3
11.51;1.34;3
11.514;1.43;4
11.516;1.31;4
11.52;1.41;4
11.526;1.31;5
11.529;1.41;3
11.531;1.41;3
11.533;1.4;31
11.534;1.4;4
11.538;1.33;4
11.539;1.41;33
11.539;1.41;3
11.544;1.31;25
11.546;1.31;3
11.551;1.51;3
11.552;1.41;4
11.554;1.3;4
11.556;1.41;3
11.558;1.33;4
11.561;1.31;5
11.562;1.3;3
11.564;1.41;31
11.566;1.41;2
11.568;1.31;4
11.571;1.41;3
11.572;1.33;4
11.575;1.32;4
11.577;1.41;4
11.579;1.51;1
11.582;1.31;4
11.583;1.41;4
11.586;1.41;4
11.587;1.4;4
11.589;1.41;4
11.592;1.51;4
11.596;1.55;2
11.596;1.42;3
11.6;1.44;4
11.602;1.4;4
11.603;1.51;2
11.606;1.41;3
11.606;1.3;3
11.607;1.31;4
11.61;1.32;3
11.611;1.3;3
11.613;1.41;3
11.614;1.41;4
11.617;1.41;5
11.62;1.41;24
11.621;1.3;4
11.626;1.3;1
11.628;1.31;4
11.629;1.31;3
11.63;1.41;4
11.632;1.44;4
11.636;1.46;4
11.637;1.41;4
11.637;1.3;4
11.639;1.3;4
11.641;1.41;4
11.642;1.41;4
11.643;1.41;0
