chrome;knoxly;scheda;totale
20.9;0;77.3;98.2
11.2;0;1;12.2
0.6;0;99.4;100
23;0.1;107.3;130.4
23.2;0;89.7;112.9
9.9;0;1.3;11.2
0.6;0;99.5;100.1
22.8;0;95.5;118.3
24.2;0;25;49.2
13.3;0;10.4;23.7
17.8;0;103.5;121.3
22.1;0;97.5;119.6
25;0.5;10.1;35.6
12.1;0;9.2;21.3
17.5;0;73.6;91.1
14.1;0;10.8;24.9
11.3;0.1;115.2;126.6
22.5;0;50.1;72.6
10.4;0.1;10.3;20.8
4.9;0;97.8;102.7
22.6;0;95.8;118.4
23.5;0.1;95.2;118.8
18.1;0;14.4;32.5
11.7;0;92.2;103.9
22.1;0;93.1;115.2
21.7;0;98.8;120.5
25.2;0;114.7;139.9
29.7;0.1;11.4;41.2
7.8;0;89;96.8
24.6;0;89.3;113.9
5.9;0;15;20.9
6.2;0;97.9;104.1
19.6;0.4;1.5;21.5
0.5;0.1;23.5;24.1
20.6;0;11.1;31.7
11.6;0;11;22.6
16.3;0;110.5;126.8
22.2;0;12;34.2
10.8;0;25.5;36.3
22.1;0;110.1;132.2
19.8;0;94.6;114.4
22.3;0.1;105.9;128.3
26.9;0;23.7;50.6
11.7;0;12.5;24.2
19.9;0;100.6;120.5
19.7;0.1;94.3;114.1
18.8;0;9.2;28
12.8;0.1;97;109.9
19.5;0;86.8;106.3
19.1;0;91.4;110.5
25.3;0;53.1;78.4
12.1;0;10.9;23
12.2;0;102.6;114.8
24.6;0;99.8;124.4
19.9;0;91.9;111.8
20.9;0;105.5;126.4
20.1;0;9.4;29.5
8.9;0;95.3;104.2
20.3;0;77.4;97.7
17.3;0;11.9;29.2
0.5;0;117;117.5
18.6;0.2;87.6;106.4
21.6;0.4;17.6;39.6
11.9;0;18.1;30
17.3;0;88.9;106.2
21.7;0;13.8;35.5
15.3;0;2.7;18
17.1;0;53.2;70.3
12.1;0;10.2;22.3
11.9;0;108.4;120.3
19.9;0.1;77.5;97.5
13.3;0;7.9;21.2
0.5;0;93.7;94.2
23.5;0;63.7;87.2
11.2;0;13.5;24.7
1.2;0;96.2;97.4
21.2;0;109.9;131.1
24.2;0;18.1;42.3
11.4;0;13.5;24.9
19.3;0;93.7;113
28;0.5;13;41.5
12;0;7.9;19.9
18.1;0.1;105.9;124.1
23.7;0.4;12;36.1
11.6;0;43.2;54.8
18.1;0;89.3;107.4
19;0;95.1;114.1
22.4;0.1;94.7;117.2
26.1;0;11;37.1
10.4;0;89;99.4
17.5;0;109.2;126.7
21;0.1;97.3;118.4
20.2;0;91;111.2
21.3;0.4;29.9;51.6
10.7;0;11.8;22.5
18.7;0;110.5;129.2
21.5;0;20.7;42.2
17;0;1.2;18.2
9.4;0;108.3;117.7
19.8;0.6;10;30.4
10.6;0;53.8;64.4
19.2;0.1;99;118.3
20;0.1;91.4;111.5
23.6;0;10.4;34
11.7;0;83.9;95.6
19.9;0;94;113.9
19.1;0.1;91;110.2
19.2;0;88.6;107.8
10.4;0;9.4;19.8
12.8;0;94.4;107.2
18.7;0.1;96.5;115.3
21.4;0.1;104.2;125.7
18.5;0;100.9;119.4
20.8;0;9.9;30.7
15.5;0.1;97.6;113.2
19.8;0;108.4;128.2
22.7;0;93.7;116.4
20.6;0;64.9;85.5
11.5;0;13.3;24.8
11.7;0;99.1;110.8
19.3;0;103.3;122.6
25.5;0;122.6;148.1
20.4;0;9.6;30
10;0;81.7;91.7
20.8;0.1;90.6;111.5
19.3;0;92.4;111.7
18.6;0;94.9;113.5
20.4;0.6;11.4;32.4
11.6;0;10;21.6
19.4;0;98.4;117.8
20.4;0;12.9;33.3
12.1;0;4.5;16.6
11.7;0;96;107.7
23.8;0;10.3;34.1
4.3;0;23;27.3
13;0;69.6;82.6
5.4;0;11.2;16.6
5.3;0;94.4;99.7
29.8;0;93.1;122.9
18.6;0.1;89.3;108
18.1;0;96.7;114.8
23.9;0.4;11.6;35.9
7.1;0;10.5;17.6
15.6;0;90;105.6
17.4;0;58;75.4
6.5;0;1.1;7.6
1.3;0.1;96.6;98
17.6;0;113.9;131.5
26.8;0;91.5;118.3
8.8;0;8.6;17.4
5.4;0.1;95.6;101.1
17.7;0;110.7;128.4
14.6;0;8.7;23.3
0.9;0;107.7;108.6
16.3;0;91.9;108.2
22;0;90.5;112.5
11.4;0.1;10.4;21.9
8.2;0;95.6;103.8
16.7;0;97.2;113.9
16.7;0;65.6;82.3
8.7;0;8.6;17.3
8.1;0;90.4;98.5
17.2;0;93.8;111
19.7;0;28;47.7
0.5;0;1.1;1.6
7.4;0;94.1;101.5
14.4;0;8.8;23.2
7;0.1;103.5;110.6
15.6;0.7;99.1;115.4
19.7;0;85.4;105.1
19.3;0;23.6;42.9
7.9;0;9.4;17.3
16.2;0;87.9;104.1
15.9;0.6;93.3;109.8
18.9;0;91.4;110.3
18.1;0;96;114.1
28.6;0;8.5;37.1
9;0;64.7;73.7
17.2;0;88.1;105.3
22.8;0;92.1;114.9
12.1;0;8.3;20.4
6.9;0.1;94.6;101.6
18.7;0;108.8;127.5
18;0;88.2;106.2
18;0;92.9;110.9
22.8;0.1;8.9;31.8
9.4;0;114.4;123.8
17.3;0;93.7;111
16.8;0;9.1;25.9
5.7;0;80.1;85.8
17.3;0;94.8;112.1
22.1;0;7.5;29.6
0.5;0;33.9;34.4
15.1;0;108.3;123.4
16.5;0;90.3;106.8
18.2;0;102;120.2
20.4;0;104.5;124.9
29.3;0;8.7;38
7.7;0;57.3;65
16.7;0;91.2;107.9
20.2;0;97.7;117.9
17.3;0;90.6;107.9
25;0;8.9;33.9
7.8;0;39.1;46.9
19.7;0;109.6;129.3
19.6;0;93.1;112.7
17.2;0.6;23.4;41.2
7.4;0;8.6;16
13.5;0;102.6;116.1
15.7;0;93.3;109
18.9;0;84.3;103.2
16.4;0.5;95.2;112.1
20.1;0;86;106.1
16.2;0;9.1;25.3
8.4;0;89.5;97.9
19.1;0;117.2;136.3
18.6;0;86.9;105.5
18.8;0.7;98.8;118.3
14.6;0;90.6;105.2
25;0;9.3;34.3
7.2;0;98.6;105.8
17.4;0;94.1;111.5
16.5;0;10;26.5
0.5;0;83.3;83.8
15.1;0;94.7;109.8
20.5;0.1;99.3;119.9
19.9;0;9;28.9
9;0;49;58
16;0;93.5;109.5
15.9;0;26.3;42.2
8.3;0.1;9.3;17.7
9.9;0;118.3;128.2
16.5;0;103.3;119.8
17.2;0;90.9;108.1
19.3;0;94.3;113.6
17.3;0;93.5;110.8
25.6;0;9.4;35
9.6;0;67.5;77.1
15.4;0;110.2;125.6
9.6;0;12.3;21.9
5.8;0;99.8;105.6
18.7;0;94.3;113
16.9;0;94.6;111.5
16.7;0;59.8;76.5
10.6;0;8.9;19.5
8.3;0;92.4;100.7
14.4;0.1;84.4;98.9
18.6;0;95.1;113.7
14.8;0.1;91.5;106.4
16.5;0.6;92.4;109.5
17;0;28.5;45.5
11;0;9.4;20.4
12.2;0;124.1;136.3
19.7;0;97.8;117.5
18.4;0;120;138.4
15.8;0;24;39.8
6.4;0;11.1;17.5
11.6;0.1;93.4;105.1
16.8;0;95.1;111.9
12.9;0;86.9;99.8
15.2;0;92.6;107.8
23.5;0;9.4;32.9
6.5;0.1;102.3;108.9
13.9;0;110.8;124.7
18.6;0;78.5;97.1
10.6;0;9.6;20.2
6;0.1;95.4;101.5
16.7;0;121.7;138.4
19.6;0;88.8;108.4
19;0;90.5;109.5
14.2;0;118.1;132.3
17.2;0;85;102.2
12.9;0.1;9;22
6.1;0;92.2;98.3
16.2;0;121.4;137.6
20.7;0;47.9;68.6
6.4;0;10.7;17.1
7.9;0;96.8;104.7
15.6;0;91.5;107.1
16.9;0;87.4;104.3
9.8;0;9.6;19.4
7.3;0;96.5;103.8
13.7;0.1;92;105.8
15.6;0;101;116.6
16.9;0;93.2;110.1
17.1;0;88.5;105.6
17.8;0.9;63.2;81.9
14.3;0;9.7;24
10.2;0.1;89.4;99.7
16.8;0;89.5;106.3
18.3;0;91.5;109.8
16.8;0.6;93;110.4
15.2;0;94;109.2
16.7;0.6;72.9;90.2
6.9;0;10.7;17.6
9.8;0;93.2;103
16.5;0;93.2;109.7
21.9;0;93.7;115.6
15.1;0.1;100.2;115.4
17.3;0;90.8;108.1
24.1;0;10.1;34.2
8.1;0.1;23.1;31.3
13.7;0.1;120.4;134.2
16.5;0;88.4;104.9
16.8;0;93.3;110.1
14.4;0;90.8;105.2
24.2;0;8.8;33
10.9;0;45.8;56.7
15.5;0;93.1;108.6
13.7;0;116;129.7
